case,alpha,a,b,c,r,f,p,rho_E,rho_P
3,0.1,0.0,0.0,1.0,0.3999999999999999,1.0,6.0,0.3999999999999999,1.5999999999999996
3,0.1,0.0,1.1111111111111112,1.0,0.3999999999999999,1.0,6.0,0.3999999999999999,1.5999999999999996
3,0.1,0.0,2.2222222222222223,1.0,0.3999999999999999,1.0,6.0,0.3999999999999999,1.5999999999999996
3,0.1,0.0,3.3333333333333335,1.0,0.3999999999999999,1.0,6.0,0.3999999999999999,1.5999999999999996
3,0.1,0.0,4.444444444444445,1.0,0.3999999999999999,1.0,6.0,0.3999999999999999,1.5999999999999996
3,0.1,0.0,5.555555555555555,1.0,0.3999999999999999,1.0,6.0,0.3999999999999999,1.5999999999999996
3,0.1,0.0,6.666666666666667,1.0,0.3999999999999999,1.0,6.0,0.3999999999999999,1.5999999999999996
3,0.1,0.0,7.777777777777779,1.0,0.3999999999999999,1.0,6.0,0.3999999999999999,1.5999999999999996
3,0.1,0.0,8.88888888888889,1.0,0.3999999999999999,1.0,6.0,0.3999999999999999,1.5999999999999996
3,0.1,0.0,10.0,1.0,0.3999999999999999,1.0,6.0,0.3999999999999999,1.5999999999999996
3,0.1,1.1111111111111112,1.1111111111111112,1.0,0.399256288747484,1.2093403900857638,6.007437112525159,0.4828367559780766,1.5164140017051357
3,0.1,1.1111111111111112,2.2222222222222223,1.0,0.3992768616713914,1.0790181125910674,6.0072313832860855,0.43082696568194945,1.5684446666990188
3,0.1,1.1111111111111112,3.3333333333333335,1.0,0.3995306065143339,1.0412462156754778,6.00469393485666,0.4160097320795786,1.5835186711323113
3,0.1,1.1111111111111112,4.444444444444445,1.0,0.39968169903007733,1.0252912363024425,6.003183009699226,0.4097901433260087,1.5898905425489938
3,0.1,1.1111111111111112,5.555555555555555,1.0,0.39977208351535376,1.0170827788717198,6.0022791648464615,0.40660130161713326,1.5931702624389803
3,0.1,1.1111111111111112,6.666666666666667,1.0,0.399829381662389,1.0123089645051178,6.001706183376109,0.40475086732937454,1.595078223226843
3,0.1,1.1111111111111112,7.777777777777779,1.0,0.3998677163233687,1.0092894845970761,6.001322836766312,0.40358228131502266,1.5962852600186348
3,0.1,1.1111111111111112,8.88888888888889,1.0,0.3998945353674094,1.0072590324497952,6.001054646325906,0.4027973827761372,1.5970970413633847
3,0.1,1.1111111111111112,10.0,1.0,0.39991399669198857,1.0058283893336204,6.000860033080114,0.4022448511646737,1.5976690715616249
3,0.1,2.2222222222222223,2.2222222222222223,1.0,0.39853333378048594,1.1582767215517982,6.014666662195141,0.4616118832803698,1.5368999394021214
3,0.1,2.2222222222222223,3.3333333333333335,1.0,0.3990544305200625,1.0825683810515305,6.0094556947993745,0.43200370879954453,1.567041780704104
3,0.1,2.2222222222222223,4.444444444444445,1.0,0.39936060789355143,1.0506128824146876,6.006393921064485,0.41957339938192595,1.5797831202889674
3,0.1,2.2222222222222223,5.555555555555555,1.0,0.39954282690683396,1.0341799230450661,6.00457173093166,0.4131991699837177,1.586341566850745
3,0.1,2.2222222222222223,6.666666666666667,1.0,0.3996580439542943,1.024625554060815,6.003419560457057,0.4094998447215303,1.5901570298933918
3,0.1,2.2222222222222223,7.777777777777779,1.0,0.39973501322608795,1.0185833789955807,6.0026498677391205,0.4071634404746718,1.5925708705715127
3,0.1,2.2222222222222223,8.88888888888889,1.0,0.3997888101528009,1.0145207879352625,6.002111898471991,0.4055940586839206,1.5941943054573646
3,0.1,2.2222222222222223,10.0,1.0,0.39982782313769105,1.0116585492066394,6.0017217686230895,0.40448923548792537,1.5953382912010465
