case,pmax,beta,gamma,p,s,r,c,rho_P,rc
1,10,0.0,14.375,0.3924235792405217,0.6075764207594783,-1.2136963171941666,0.6075764207594783,0.2611302113854178,-0.7374132642897921
1,10,0.0,15.0,0.3902734644166456,0.6097265355833543,-1.2847006554165614,0.6097265355833543,0.28193150436104797,-0.7833160798888047
1,10,0.0,15.625,0.38827693518126205,0.6117230648187377,-1.3556090374024072,0.6117230648187377,0.3029055927091519,-0.8292573150557794
1,10,0.0,16.25,0.3864178857545213,0.6135821142454787,-1.426430214503657,0.6135821142454787,0.3240339191739141,-0.8752320668387855
1,10,0.0,16.875,0.38468240967053974,0.6153175903294601,-1.4971718877301199,0.6153175903294601,0.345300508804093,-0.9212361982671063
1,10,0.0,17.5,0.3830584336667002,0.6169415663332997,-1.5678408630557517,0.6169415663332997,0.36669153257418413,-0.9672661978149678
1,10,0.0,18.125,0.38153542283070024,0.6184645771692997,-1.6384431796021475,0.6184645771692997,0.38819495697498285,-1.013319068288565
1,10,0.0,18.75,0.3801041412477616,0.6198958587522383,-1.708984216131844,0.6198958587522383,0.4098002603742967,-1.0593922382530703
1,10,0.0,19.375,0.3787564562677848,0.621243543732215,-1.7794687800627775,0.621243543732215,0.43149820171130565,-1.1054834908870415
1,10,0.0,20.0,0.3774851773445586,0.6225148226554413,-1.849901182297058,0.6225148226554413,0.4532806305584307,-1.1515909064277443
1,10,0.8333333333333334,5.0,0.7055941339421042,0.29440586605789576,-1.4893154092675407,1.1277391993912291,0.6287071509196361,-1.679559367288397
1,10,0.8333333333333334,5.625,0.6962260775944259,0.3037739224055741,-1.7266104750641724,1.1371072557389075,0.7612300604428953,-1.9633412990302725
1,10,0.8333333333333334,6.25,0.6885666922920708,0.31143330770792926,-1.9632755608377708,1.1447666410412627,0.8956462102347319,-2.247492369218656
1,10,0.8333333333333334,6.875,0.6821840807839465,0.31781591921605357,-2.1994539505158865,1.151149252549387,1.0314672996938592,-2.5318997711531592
1,10,0.8333333333333334,7.5,0.6767814193841803,0.3232185806158197,-2.4352481721774932,1.1565519139491531,1.1683602199540417,-2.8164909344730567
1,10,0.8333333333333334,8.125,0.6721477520853034,0.32785224791469664,-2.6707336301457776,1.16118558124803,1.3060897767583795,-3.101217382679486
1,10,0.8333333333333334,8.75,0.6681289076184207,0.3318710923815794,-2.9059670754596105,1.1652044257149128,1.4444850896054338,-3.38604569730736
1,10,0.8333333333333334,9.375,0.6646095251568117,0.3353904748431883,-3.1409920712109,1.1687238081765217,1.5834189659490767,-3.6709522149178633
1,10,0.8333333333333334,10.0,0.6615015217698078,0.3384984782301923,-3.3758426330377143,1.1718318115635258,1.7227947492161242,-3.9559197882259673
1,10,0.8333333333333334,10.625,0.6587364533267573,0.34126354667324277,-3.6105457212535983,1.1745968800065762,1.8625376563128753,-4.24093573930557
1,10,0.8333333333333334,11.25,0.6562603133797029,0.34373968662029714,-3.845122987818791,1.1770730199536306,2.002588910395532,-4.525990527364992
1,10,0.8333333333333334,11.875,0.6540299060742999,0.3459700939257001,-4.079592026719745,1.1793034272590335,2.1429016688722444,-4.811076858929222
1,10,0.8333333333333334,12.5,0.6520102628370859,0.34798973716291415,-4.3139672855610725,1.1813230704962474,2.2834381360701035,-5.096189079799368
1,10,0.8333333333333334,13.125,0.6501727677311658,0.34982723226883417,-4.548260741177059,1.1831605656021675,2.424167476583091,-5.3813227510371835
1,10,0.8333333333333334,13.75,0.6484937741508128,0.3515062258491872,-4.782482407795024,1.1848395591825205,2.5650642814091547,-5.6664743478500155
1,10,0.8333333333333334,14.375,0.6469535686252945,0.35304643137470554,-5.0166407243819275,1.186379764708039,2.706107423067127,-5.951641042216997
1,10,0.8333333333333334,15.0,0.6455355840176498,0.35446441598235023,-5.250742853495123,1.1877977493156835,2.8472791891594422,-6.236820543616917
1,10,0.8333333333333334,15.625,0.6442257946734881,0.35577420532651205,-5.4847949144169865,1.1891075386598455,2.9885646183750314,-6.522010980736421
1,10,0.8333333333333334,16.25,0.6430122461747885,0.35698775382521153,-5.718802166874635,1.1903210871585448,3.1299509857675516,-6.807210812518857
1,10,0.8333333333333334,16.875,0.6418846859481181,0.358115314051882,-5.952769157173301,1.1914486473852155,3.27142739953673,-7.092418760510559
