case,alpha,beta,gamma,B,pmax,p,s,r,c,P,E,P/E
6,1.0,0.0,1.666671111111111,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,1.6969740404040403,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,1.7272769696969696,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,1.757579898989899,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,1.7878828282828283,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,1.8181857575757576,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,1.8484886868686867,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,1.878791616161616,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,1.9090945454545454,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,1.9393974747474747,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,1.969700404040404,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,2.0000033333333334,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,2.0303062626262625,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,2.060609191919192,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,2.090912121212121,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,2.1212150505050507,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,2.1515179797979798,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,2.181820909090909,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,2.2121238383838384,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,2.2424267676767675,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,2.272729696969697,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,2.303032626262626,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,2.3333355555555553,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,2.363638484848485,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,2.393941414141414,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,2.4242443434343435,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,2.4545472727272726,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,2.484850202020202,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,2.5151531313131312,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,2.5454560606060603,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,2.57575898989899,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,2.606061919191919,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,2.6363648484848485,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,2.6666677777777776,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,2.696970707070707,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,2.7272736363636363,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,2.7575765656565654,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,2.787879494949495,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,2.818182424242424,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,2.8484853535353536,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,2.8787882828282827,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,2.909091212121212,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,2.9393941414141413,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,2.9696970707070705,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
6,1.0,0.0,3.0,,10,10.0,1.0,1.0,1.0,9.0,1.0,9.0
3,1.0,0.10101010101010101,1e-05,,10,10.0,0.0,0.9999,0.10101010101010101,9.898000000000001,0.10099999999999999,98.00000000000003
6,1.0,0.10101010101010101,0.03031292929292929,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,0.060615858585858585,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,0.09091878787878786,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,0.12122171717171716,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,0.15152464646464647,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,0.18182757575757574,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,0.21213050505050504,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,0.24243343434343434,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,0.2727363636363636,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,0.30303929292929294,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,0.3333422222222222,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,0.3636451515151515,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,0.3939480808080808,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,0.4242510101010101,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,0.4545539393939394,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,0.48485686868686867,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,0.5151597979797979,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,0.5454627272727272,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,0.5757656565656565,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,0.6060685858585858,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,0.636371515151515,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,0.6666744444444443,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,0.6969773737373737,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,0.7272803030303029,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,0.7575832323232322,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,0.7878861616161615,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,0.8181890909090909,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,0.8484920202020201,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,0.8787949494949494,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
