case,alpha,a,b,c,r,f,p,rho_E,rho_P
4,0.8,0.0,0.0,1.0,0.07427357821433388,1.0,3.25,0.07427357821433388,0.09284197276791735
4,0.8,0.0,1.1111111111111112,1.0,0.07427357821433388,1.0,3.25,0.07427357821433388,0.09284197276791735
4,0.8,0.0,2.2222222222222223,1.0,0.07427357821433388,1.0,3.25,0.07427357821433388,0.09284197276791735
4,0.8,0.0,3.3333333333333335,1.0,0.07427357821433388,1.0,3.25,0.07427357821433388,0.09284197276791735
4,0.8,0.0,4.444444444444445,1.0,0.07427357821433388,1.0,3.25,0.07427357821433388,0.09284197276791735
4,0.8,0.0,5.555555555555555,1.0,0.07427357821433388,1.0,3.25,0.07427357821433388,0.09284197276791735
4,0.8,0.0,6.666666666666667,1.0,0.07427357821433388,1.0,3.25,0.07427357821433388,0.09284197276791735
4,0.8,0.0,7.777777777777779,1.0,0.07427357821433388,1.0,3.25,0.07427357821433388,0.09284197276791735
4,0.8,0.0,8.88888888888889,1.0,0.07427357821433388,1.0,3.25,0.07427357821433388,0.09284197276791735
4,0.8,0.0,10.0,1.0,0.07427357821433388,1.0,3.25,0.07427357821433388,0.09284197276791735
4,0.8,1.1111111111111112,1.1111111111111112,1.0,0.05471498313704887,1.4267518392172533,3.632022115384882,0.07806470282352547,0.06594634283609804
4,0.8,1.1111111111111112,2.2222222222222223,1.0,0.06713690254703379,1.1405095979376398,3.3762767784198053,0.07657028173069602,0.08296558076685387
4,0.8,1.1111111111111112,3.3333333333333335,1.0,0.07060953907151159,1.0700085916023498,3.313237536603374,0.07555281345559921,0.08778382276688396
4,0.8,1.1111111111111112,4.444444444444445,1.0,0.07204930550532868,1.0419302457257071,3.288005744560738,0.07507035058953365,0.08977887429826997
4,0.8,1.1111111111111112,5.555555555555555,1.0,0.07278134992115123,1.027922227479004,3.275369423751978,0.07481356732987861,0.09079089090010234
4,0.8,1.1111111111111112,6.666666666666667,1.0,0.07320359898583252,1.0199289175745814,3.268138365937976,0.07466246747618388,0.09137342390832116
4,0.8,1.1111111111111112,7.777777777777779,1.0,0.07346905275433174,1.0149380602746352,3.2636137654895805,0.07456653789269631,0.09173902125948921
4,0.8,1.1111111111111112,8.88888888888889,1.0,0.0736467196461019,1.0116133026174972,3.260594596041522,0.07450200128813805,0.09198337516002489
4,0.8,1.1111111111111112,10.0,1.0,0.07377143462070455,1.0092873301280065,3.2584796088308887,0.07445657428804368,0.09215470651701861
4,0.8,2.2222222222222223,2.2222222222222223,1.0,0.060416831456689676,1.2838768534405283,3.508109432950226,0.07756777146546147,0.07396425342002586
4,0.8,2.2222222222222223,3.3333333333333335,1.0,0.06705446893963855,1.1406997182357181,3.377812525779176,0.0764890138258914,0.08295394232825183
4,0.8,2.2222222222222223,4.444444444444445,1.0,0.06986544903143004,1.0840985143811337,3.326480054175607,0.07574102950154411,0.08679954414610036
4,0.8,2.2222222222222223,5.555555555555555,1.0,0.0713074525590647,1.0559478758549532,3.300943041317605,0.07529695306237222,0.08877743369749296
4,0.8,2.2222222222222223,6.666666666666667,1.0,0.0721431088597806,1.0399097222471227,3.2863793870283793,0.0750223202964184,0.08992419671672842
4,0.8,2.2222222222222223,7.777777777777779,1.0,0.07266992294061224,1.0299049324403264,3.2772846184447535,0.07484311207659497,0.09064698565962681
4,0.8,2.2222222222222223,8.88888888888889,1.0,0.07302315247100884,1.0232438572235183,3.2712234137254144,0.07472049220105617,0.09113140143513994
4,0.8,2.2222222222222223,10.0,1.0,0.07327141152483603,1.0185856102762658,3.2669809578652274,0.07463320542382852,0.09147168925888152
4,0.8,3.3333333333333335,3.3333333333333335,1.0,0.06361325781960972,1.2120426314210735,3.443666717596101,0.07710198040094694,0.07834762053069325
4,0.8,3.3333333333333335,4.444444444444445,1.0,0.06772306528921149,1.1264983614926563,3.365410573221523,0.07628992208355692,0.08390293260251544
4,0.8,3.3333333333333335,5.555555555555555,1.0,0.06985219478643942,1.084075063020416,3.3267172154364935,0.07572502246522368,0.0868012816804082
4,0.8,3.3333333333333335,6.666666666666667,1.0,0.07109221847934136,1.0599417336493915,3.3047217411218197,0.07535360930397439,0.08849417224994603
4,0.8,3.3333333333333335,7.777777777777779,1.0,0.07187623471812653,1.0449003309195792,3.2910120016564957,0.07510350144222376,0.0895658149308834
4,0.8,3.3333333333333335,8.88888888888889,1.0,0.07240289799885986,1.0348915299139494,3.2818861909787347,0.07492914588024371,0.09028602725019648
4,0.8,3.3333333333333335,10.0,1.0,0.07277351969911945,1.0278947720559581,3.2755039129322396,0.07480352044283617,0.09079290839036157
4,0.8,4.444444444444445,4.444444444444445,1.0,0.06562309588716114,1.169123111704567,3.4047844669300957,0.07672147806328501,0.08108792359802436
4,0.8,4.444444444444445,5.555555555555555,1.0,0.06841586243950697,1.1123018627231689,3.352688217786963,0.07609909123127569,0.08486210223988597
4,0.8,4.444444444444445,6.666666666666667,1.0,0.07005103251764193,1.08002426029811,3.32316408323012,0.07565681457798508,0.08708322816018585
4,0.8,4.444444444444445,7.777777777777779,1.0,0.07108803213530049,1.0599239667224718,3.304795350923884,0.07534790900734224,0.088495456964426
4,0.8,4.444444444444445,8.88888888888889,1.0,0.07178597684319646,1.0465561855685233,3.2925826632421793,0.07512805810232602,0.08944722787229072
4,0.8,4.444444444444445,10.0,1.0,0.07227776963001942,1.0372147465914971,3.284048338867755,0.0749675685109992,0.09011835114951293
