pmax,beta,gamma,p,s,r,c,P,E,P/E
10,1.6326530612244898,8.755102040816325,10.0,1.0,1.0,2.63265306122449,7.36734693877551,0.9,8.1859410430839
10,1.6326530612244898,9.142857142857142,10.0,1.0,1.0,2.63265306122449,7.36734693877551,0.9,8.1859410430839
10,1.6326530612244898,9.53061224489796,10.0,1.0,1.0,2.63265306122449,7.36734693877551,0.9,8.1859410430839
10,1.6326530612244898,9.918367346938775,10.0,1.0,1.0,2.63265306122449,7.36734693877551,0.9,8.1859410430839
10,1.6326530612244898,10.306122448979592,10.0,1.0,1.0,2.63265306122449,7.36734693877551,0.9,8.1859410430839
10,1.6326530612244898,10.693877551020408,10.0,1.0,1.0,2.63265306122449,7.36734693877551,0.9,8.1859410430839
10,1.6326530612244898,11.081632653061224,10.0,1.0,1.0,2.63265306122449,7.36734693877551,0.9,8.1859410430839
10,1.6326530612244898,11.46938775510204,10.0,1.0,1.0,2.63265306122449,7.36734693877551,0.9,8.1859410430839
10,1.6326530612244898,11.857142857142858,10.0,1.0,1.0,2.63265306122449,7.36734693877551,0.9,8.1859410430839
10,1.6326530612244898,12.244897959183673,0.9075464250197028,0.09245357498029719,-9.085394043665833,1.725106636204787,7.427856673039144,-9.001396327721672,-0.8251893820254881
10,1.6326530612244898,12.63265306122449,0.9066543337058516,0.09334566629414845,-9.384319755760927,1.7259987275186384,7.688989781629295,-9.296721197729042,-0.8270646842144223
10,1.6326530612244898,13.020408163265305,0.905813821588186,0.09418617841181394,-9.683227702950282,1.7268392396363037,7.95017607286987,-9.592025081747053,-0.8288318686737479
10,1.6326530612244898,13.408163265306122,0.9050205372768898,0.09497946272311027,-9.982119338585067,1.7276325239476,8.211411020297579,-9.88730970542339,-0.8305000313476024
10,1.6326530612244898,13.795918367346939,0.9042706058335087,0.0957293941664914,-10.280995961558418,1.7283824553909812,8.472690597172813,-10.182576610075603,-0.8320772749000613
10,1.6326530612244898,14.183673469387754,0.903560565251702,0.09643943474829797,-10.579858736310056,1.7290924959727878,8.734011209342388,-10.477827176685398,-0.8335708407919497
10,1.6326530612244898,14.571428571428571,0.9028873128425366,0.09711268715746338,-10.878708709797957,1.7297657483819533,8.995369638646759,-10.77306264623678,-0.8349872208149648
10,1.6326530612244898,14.959183673469386,0.9022480597670708,0.09775194023292921,-11.177546825960697,1.730405001457419,9.25676299498827,-11.068284137032489,-0.8363322517188373
10,1.6326530612244898,15.346938775510203,0.9016402923066742,0.09835970769332572,-11.476373938093273,1.7310127689178156,9.518188675551976,-11.363492659500256,-0.8376111958495837
10,1.6326530612244898,15.73469387755102,0.9010617387336572,0.09893826126634275,-11.775190819479498,1.7315913224908326,9.77964432996362,-11.658689128903628,-0.838828810154859
10,1.6326530612244898,16.122448979591837,0.9005103408591711,0.09948965914082882,-12.073998172561174,1.7321427203653186,10.041127830399926,-11.953874376295664,-0.8399894054693529
10,1.6326530612244898,16.51020408163265,0.8999842295052966,0.10001577049470341,-12.372796636873835,1.7326688317191932,10.302637245848729,-12.249049157992713,-0.841096897641731
10,1.6326530612244898,16.89795918367347,0.8994817032837598,0.1005182967162402,-12.671586795938492,1.73317135794073,10.564170819861786,-12.544214163796518,-0.8421548517842372
