pmax,beta,gamma,p,s,r,c,P,E,P/E
10,0.40816326530612246,5.26530612244898,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,5.653061224489796,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,6.040816326530612,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,6.428571428571429,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,6.816326530612245,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,7.204081632653061,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,7.591836734693877,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,7.979591836734693,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,8.36734693877551,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,8.755102040816325,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,9.142857142857142,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,9.53061224489796,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,9.918367346938775,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,10.306122448979592,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,10.693877551020408,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,11.081632653061224,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,11.46938775510204,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,11.857142857142858,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,12.244897959183673,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,12.63265306122449,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,13.020408163265305,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,13.408163265306122,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,13.795918367346939,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,14.183673469387754,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,14.571428571428571,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,14.959183673469386,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,15.346938775510203,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,15.73469387755102,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,16.122448979591837,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,16.51020408163265,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,16.89795918367347,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,17.285714285714285,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,17.6734693877551,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,18.06122448979592,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,18.448979591836736,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,18.83673469387755,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,19.224489795918366,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,19.612244897959183,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.40816326530612246,20.0,10.0,1.0,1.0,1.4081632653061225,8.591836734693878,0.9,9.546485260770975
10,0.8163265306122449,1.0,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,1.3877551020408163,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,1.7755102040816326,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,2.163265306122449,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,2.5510204081632653,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,2.9387755102040813,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,3.326530612244898,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,3.7142857142857144,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,4.1020408163265305,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,4.489795918367347,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,4.877551020408163,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,5.26530612244898,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,5.653061224489796,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,6.040816326530612,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,6.428571428571429,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,6.816326530612245,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,7.204081632653061,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,7.591836734693877,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,7.979591836734693,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,8.36734693877551,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,8.755102040816325,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,9.142857142857142,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,9.53061224489796,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,9.918367346938775,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,10.306122448979592,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,10.693877551020408,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,11.081632653061224,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,11.46938775510204,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,11.857142857142858,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,12.244897959183673,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,12.63265306122449,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,13.020408163265305,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,13.408163265306122,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,13.795918367346939,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,14.183673469387754,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,14.571428571428571,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,14.959183673469386,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,15.346938775510203,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,15.73469387755102,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,16.122448979591837,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,16.51020408163265,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,16.89795918367347,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,17.285714285714285,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,17.6734693877551,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,18.06122448979592,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,18.448979591836736,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,18.83673469387755,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,19.224489795918366,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,19.612244897959183,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,0.8163265306122449,20.0,10.0,1.0,1.0,1.816326530612245,8.183673469387756,0.9,9.09297052154195
10,1.2244897959183674,1.0,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,1.3877551020408163,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,1.7755102040816326,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,2.163265306122449,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,2.5510204081632653,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,2.9387755102040813,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,3.326530612244898,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,3.7142857142857144,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,4.1020408163265305,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,4.489795918367347,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,4.877551020408163,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,5.26530612244898,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,5.653061224489796,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,6.040816326530612,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,6.428571428571429,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,6.816326530612245,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,7.204081632653061,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,7.591836734693877,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,7.979591836734693,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,8.36734693877551,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,8.755102040816325,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,9.142857142857142,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,9.53061224489796,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,9.918367346938775,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,10.306122448979592,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,10.693877551020408,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,11.081632653061224,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,11.46938775510204,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,11.857142857142858,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,12.244897959183673,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,12.63265306122449,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,13.020408163265305,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,13.408163265306122,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,13.795918367346939,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,14.183673469387754,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,14.571428571428571,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,14.959183673469386,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,15.346938775510203,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,15.73469387755102,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,16.122448979591837,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,16.51020408163265,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,16.89795918367347,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,17.285714285714285,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,17.6734693877551,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,18.06122448979592,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,18.448979591836736,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,18.83673469387755,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,19.224489795918366,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,19.612244897959183,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.2244897959183674,20.0,10.0,1.0,1.0,2.2244897959183674,7.775510204081632,0.9,8.639455782312924
10,1.6326530612244898,1.0,10.0,1.0,1.0,2.63265306122449,7.36734693877551,0.9,8.1859410430839
10,1.6326530612244898,1.3877551020408163,10.0,1.0,1.0,2.63265306122449,7.36734693877551,0.9,8.1859410430839
10,1.6326530612244898,1.7755102040816326,10.0,1.0,1.0,2.63265306122449,7.36734693877551,0.9,8.1859410430839
10,1.6326530612244898,2.163265306122449,10.0,1.0,1.0,2.63265306122449,7.36734693877551,0.9,8.1859410430839
10,1.6326530612244898,2.5510204081632653,10.0,1.0,1.0,2.63265306122449,7.36734693877551,0.9,8.1859410430839
10,1.6326530612244898,2.9387755102040813,10.0,1.0,1.0,2.63265306122449,7.36734693877551,0.9,8.1859410430839
10,1.6326530612244898,3.326530612244898,10.0,1.0,1.0,2.63265306122449,7.36734693877551,0.9,8.1859410430839
10,1.6326530612244898,3.7142857142857144,10.0,1.0,1.0,2.63265306122449,7.36734693877551,0.9,8.1859410430839
10,1.6326530612244898,4.1020408163265305,10.0,1.0,1.0,2.63265306122449,7.36734693877551,0.9,8.1859410430839
10,1.6326530612244898,4.489795918367347,10.0,1.0,1.0,2.63265306122449,7.36734693877551,0.9,8.1859410430839
10,1.6326530612244898,4.877551020408163,10.0,1.0,1.0,2.63265306122449,7.36734693877551,0.9,8.1859410430839
10,1.6326530612244898,5.26530612244898,10.0,1.0,1.0,2.63265306122449,7.36734693877551,0.9,8.1859410430839
10,1.6326530612244898,5.653061224489796,10.0,1.0,1.0,2.63265306122449,7.36734693877551,0.9,8.1859410430839
10,1.6326530612244898,6.040816326530612,10.0,1.0,1.0,2.63265306122449,7.36734693877551,0.9,8.1859410430839
10,1.6326530612244898,6.428571428571429,10.0,1.0,1.0,2.63265306122449,7.36734693877551,0.9,8.1859410430839
10,1.6326530612244898,6.816326530612245,10.0,1.0,1.0,2.63265306122449,7.36734693877551,0.9,8.1859410430839
10,1.6326530612244898,7.204081632653061,10.0,1.0,1.0,2.63265306122449,7.36734693877551,0.9,8.1859410430839
10,1.6326530612244898,7.591836734693877,10.0,1.0,1.0,2.63265306122449,7.36734693877551,0.9,8.1859410430839
10,1.6326530612244898,7.979591836734693,10.0,1.0,1.0,2.63265306122449,7.36734693877551,0.9,8.1859410430839
10,1.6326530612244898,8.36734693877551,10.0,1.0,1.0,2.63265306122449,7.36734693877551,0.9,8.1859410430839
