case,Kn,Ks,gamma,eps,m,f_s,pmax,p,r,E,P
1,0.0,4.343434343434343,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.3771185320724184
1,0.0,4.393939393939394,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.411108162103348
1,0.0,4.444444444444445,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.4450977921342782
1,0.0,4.494949494949495,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.479087422165208
1,0.0,4.545454545454545,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.5130770521961368
1,0.0,4.595959595959596,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.5470666822270673
1,0.0,4.646464646464646,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.581056312257997
1,0.0,4.696969696969697,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.6150459422889263
1,0.0,4.747474747474747,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.649035572319856
1,0.0,4.797979797979798,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.6830252023507857
1,0.0,4.848484848484849,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.7170148323817154
1,0.0,4.898989898989899,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.751004462412645
1,0.0,4.94949494949495,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.784994092443575
1,0.0,5.0,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-3.818983722474505
1,0.050505050505050504,0.0,0.4,0.1,1.25,0.34,10,4.99929778830992,0.13537330218302007,0.13028272452772977,0.055247473050447075
1,0.050505050505050504,0.050505050505050504,0.4,0.1,1.25,0.34,10,2.877656565656566,0.3163004815379877,0.3044063182302332,0.0672138523268224
1,0.050505050505050504,0.10101010101010101,0.4,0.1,1.25,0.34,10,3.0573333333333332,0.2943654273391451,0.2832961098094839,0.06255265330956834
1,0.050505050505050504,0.15151515151515152,0.4,0.1,1.25,0.34,10,3.237010101010101,0.27395154250547904,0.263649868701103,0.05821470278241431
1,0.050505050505050504,0.20202020202020202,0.4,0.1,1.25,0.34,10,3.4166868686868686,0.2549533357892097,0.24536607055019224,0.054177583855207066
1,0.050505050505050504,0.25252525252525254,0.4,0.1,1.25,0.34,10,3.596363636363637,0.2372726316324555,0.22835023159254864,0.050420434221896814
1,0.050505050505050504,0.30303030303030304,0.4,0.1,1.25,0.34,10,3.7760404040404096,0.22081806283302421,0.21251442039825116,0.04692383835201776
1,0.050505050505050504,0.35353535353535354,0.4,0.1,1.25,0.34,10,3.9557171717172364,0.2055045983932123,0.19777680347523396,0.043669727158558755
1,0.050505050505050504,0.40404040404040403,0.4,0.1,1.25,0.34,10,4.1353939393937615,0.19125310411175564,0.18406122238473716,0.040641284623745194
1,0.050505050505050504,0.45454545454545453,0.4,0.1,1.25,0.34,10,4.315070707070706,0.17798993364804452,0.17129680018314344,0.03782286090020946
1,0.050505050505050504,0.5050505050505051,0.4,0.1,1.25,0.34,10,4.494747474747529,0.16564654794583053,0.15941757515687552,0.035199891438489755
1,0.050505050505050504,0.5555555555555556,0.4,0.1,1.25,0.34,10,4.674424242424243,0.1541591610491225,0.14836215995703128,0.032758821722938536
1,0.050505050505050504,0.6060606060606061,0.4,0.1,1.25,0.34,10,4.85410101010101,0.1434684104804912,0.1380734243727828,0.030487037227104382
1,0.050505050505050504,0.6565656565656566,0.4,0.1,1.25,0.34,10,5.033777777777775,0.1335190504782258,0.1284982001040426,0.028372798226622958
