case,Kn,Ks,gamma,beta,c0,pmax,p,m,r,P,E_n,E_s,Etot,P/E
1,0.0,0.6060606060606061,0.8,1.7,0.5,1.25,0.8726582725177896,3.0808206111238796,0.3018733819857683,0.12174717270133278,0.2918912825562261,0.008878079232634867,0.30076936178886093,0.4047858198628585
1,0.0,0.6565656565656566,0.8,1.7,0.5,1.25,0.8729226593360505,3.155094329389105,0.3016618725311595,0.12131414457834329,0.2923535519851274,0.008278820293640932,0.3006323722787683,0.40352987823231473
1,0.0,0.7070707070707071,0.8,1.7,0.5,1.25,0.8731592015485204,3.229537346965916,0.3014726387611836,0.12091006778057975,0.29278060566383735,0.007730694236779724,0.3005112999006171,0.40234782459283974
1,0.0,0.7575757575757576,0.8,1.7,0.5,1.25,0.8733711000424403,3.304137036691269,0.30130311996604764,0.1205324926744654,0.29317567967776725,0.007228545392396596,0.30040422507016384,0.4012343456431522
1,0.0,0.8080808080808081,0.8,1.7,0.5,1.25,0.8735611522240706,3.378881822443621,0.3011510782207435,0.12017921484464247,0.29354167221872696,0.006767805698193511,0.3003094779169205,0.40018455520704416
1,0.0,0.8585858585858586,0.8,1.7,0.5,1.25,0.873731806981608,3.453761090001112,0.3010145544147136,0.11984824731003876,0.29388118195827406,0.00634442146275732,0.3002256034210314,0.3991939592905592
1,0.0,0.9090909090909091,0.8,1.7,0.5,1.25,0.8738852117064511,3.5287651017309076,0.30089183063483915,0.1195377961874876,0.29419654184702676,0.00595478984788036,0.3001513316949071,0.3982584235508021
1,0.0,0.9595959595959596,0.8,1.7,0.5,1.25,0.8740232525484596,3.603884922511347,0.30078139796123227,0.11924623934727634,0.2944898489413165,0.00559570369831307,0.3000855526396296,0.39737414313470204
1,0.0,1.0101010101010102,0.8,1.7,0.5,1.25,0.8741475889484784,3.679112346740731,0.30068192884121725,0.11897210766738903,0.2947629906511583,0.005264303626238459,0.30002729427739677,0.3965376148657688
1,0.0,1.0606060606060606,0.8,1.7,0.5,1.25,0.8742596832719799,3.754439837913092,0.300592253382416,0.11871406854703845,0.2950176679285829,0.004958036302639145,0.29997570423122205,0.39574561163637884
1,0.0,1.1111111111111112,0.8,1.7,0.5,1.25,0.8743608263093677,3.829860466387358,0.3005113389525058,0.11847091138647048,0.29525541566825375,0.004674618169013778,0.2999300338372675,0.39499515894013143
1,0.0,1.1616161616161615,0.8,1.7,0.5,1.25,0.8744521592188064,3.9053678586372644,0.3004382726249548,0.1182415347799557,0.29547762075224276,0.004412003775590091,0.29988962452783285,0.39428351336303624
1,0.0,1.2121212121212122,0.8,1.7,0.5,1.25,0.8745346924769296,3.980956140447014,0.30037224601845625,0.1180249352032475,0.29568553792242636,0.004168358180608972,0.2998538961030353,0.3936081429560347
1,0.0,1.2626262626262625,0.8,1.7,0.5,1.25,0.8746093221825225,4.056619911205776,0.30031254225398196,0.11782019700633797,0.2958803039543285,0.003942032743711757,0.29982233669804026,0.3929667092315343
