case,gamma,c,eps,m,f_s,e_s,pmax,pn,ps,K,rn,rs,Pn,Ps,Pdiff
4,1.0,1.0,0.3535353535353536,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.36363636363636365,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.37373737373737376,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.38383838383838387,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.393939393939394,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.4040404040404041,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.4141414141414142,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.42424242424242425,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.43434343434343436,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.4444444444444445,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.4545454545454546,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.4646464646464647,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.4747474747474748,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.48484848484848486,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.494949494949495,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.5050505050505051,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.5151515151515152,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.5252525252525253,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.5353535353535354,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.5454545454545455,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.5555555555555556,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.5656565656565657,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.5757575757575758,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.5858585858585859,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.595959595959596,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.6060606060606061,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.6161616161616162,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.6262626262626263,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.6363636363636365,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.6464646464646465,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.6565656565656566,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.6666666666666667,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.6767676767676768,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.686868686868687,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.696969696969697,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.7070707070707072,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.7171717171717172,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.7272727272727273,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.7373737373737375,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.7474747474747475,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.7575757575757577,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.7676767676767677,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.7777777777777778,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.787878787878788,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.797979797979798,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.8080808080808082,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.8181818181818182,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.8282828282828284,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.8383838383838385,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.8484848484848485,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.8585858585858587,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.8686868686868687,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.8787878787878789,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
4,1.0,1.0,0.888888888888889,1.25,0.34,0.9684,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0
