case,alpha,beta,gamma,B,pmax,p,s,r,c,P,E,P/E
3,0.1,0.0,0.04748000000000001,0.158,10,10.0,0.0,0.5251999999999999,0.0,4.726799999999999,0.5251999999999999,9.0
3,0.1,0.0,0.048490000000000005,0.158,10,10.0,0.0,0.5150999999999999,0.0,4.6358999999999995,0.5150999999999999,9.0
3,0.1,0.0,0.0495,0.158,10,10.0,0.0,0.505,0.0,4.545,0.505,9.0
3,0.1,0.0,0.050510000000000006,0.158,10,10.0,0.0,0.4948999999999999,0.0,4.454099999999999,0.4948999999999999,8.999999999999998
3,0.1,0.0,0.05152,0.158,10,10.0,0.0,0.4848,0.0,4.3632,0.4848,9.0
3,0.1,0.0,0.05253000000000001,0.158,10,10.0,0.0,0.4746999999999999,0.0,4.2722999999999995,0.4746999999999999,9.000000000000002
2,0.1,0.0,0.053540000000000004,0.158,10,9.338812103100485,0.0,0.5,0.0,4.169406051550243,0.5,8.338812103100485
2,0.1,0.0,0.05455000000000001,0.158,10,9.16590284142988,0.0,0.5,0.0,4.08295142071494,0.5,8.16590284142988
2,0.1,0.0,0.055560000000000005,0.158,10,8.999280057595392,0.0,0.5,0.0,3.999640028797696,0.5,7.999280057595392
2,0.1,0.0,0.05657,0.158,10,8.8386070355312,0.0,0.5,0.0,3.9193035177656004,0.5,7.838607035531201
2,0.1,0.0,0.057580000000000006,0.158,10,8.68357068426537,0.0,0.5,0.0,3.8417853421326846,0.5,7.683570684265369
2,0.1,0.0,0.05859,0.158,10,8.533879501621437,0.0,0.5,0.0,3.7669397508107183,0.5,7.533879501621437
2,0.1,0.0,0.05960000000000001,0.158,10,8.389261744966442,0.0,0.5,0.0,3.694630872483221,0.5,7.389261744966442
2,0.1,0.0,0.060610000000000004,0.158,10,8.249463784853983,0.0,0.5,0.0,3.6247318924269916,0.5,7.249463784853983
2,0.1,0.0,0.06162000000000001,0.158,10,8.114248620577733,0.0,0.5,0.0,3.5571243102888666,0.5,7.114248620577733
2,0.1,0.0,0.06263,0.158,10,7.983394539358135,0.0,0.5,0.0,3.4916972696790674,0.5,6.983394539358135
2,0.1,0.0,0.06364,0.158,10,7.856693903205531,0.0,0.5,0.0,3.4283469516027654,0.5,6.856693903205531
2,0.1,0.0,0.06465,0.158,10,7.733952049497293,0.0,0.5,0.0,3.3669760247486464,0.5,6.733952049497293
2,0.1,0.0,0.06566,0.158,10,7.614986293024673,0.0,0.5,0.0,3.3074931465123365,0.5,6.614986293024673
2,0.1,0.0,0.06667,0.158,10,7.499625018749064,0.0,0.5,0.0,3.249812509374532,0.5,6.499625018749064
2,0.1,0.0,0.06768,0.158,10,7.387706855791961,0.0,0.5,0.0,3.1938534278959807,0.5,6.387706855791961
2,0.1,0.0,0.06869,0.158,10,7.279079924297569,0.0,0.5,0.0,3.1395399621487843,0.5,6.279079924297569
2,0.1,0.0,0.0697,0.158,10,7.173601147776184,0.0,0.5,0.0,3.086800573888092,0.5,6.173601147776184
2,0.1,0.0,0.07071,0.158,10,7.071135624381276,0.0,0.5,0.0,3.035567812190638,0.5,6.071135624381276
2,0.1,0.0,0.07172,0.158,10,6.971556051310652,0.0,0.5,0.0,2.985778025655326,0.5,5.971556051310652
2,0.1,0.0,0.07273,0.158,10,6.874742197167606,0.0,0.5,0.0,2.937371098583803,0.5,5.874742197167606
2,0.1,0.0,0.07374,0.158,10,6.780580417683754,0.0,0.5,0.0,2.890290208841877,0.5,5.780580417683754
2,0.1,0.0,0.07475,0.158,10,6.688963210702341,0.0,0.5,0.0,2.8444816053511706,0.5,5.688963210702341
2,0.1,0.0,0.07576,0.158,10,6.599788806758184,0.0,0.5,0.0,2.799894403379092,0.5,5.599788806758184
2,0.1,0.0,0.07677,0.158,10,6.512960791976032,0.0,0.5,0.0,2.756480395988016,0.5,5.512960791976032
2,0.1,0.0,0.07778,0.158,10,6.428387760349704,0.0,0.5,0.0,2.714193880174852,0.5,5.428387760349704
2,0.1,0.0,0.07879,0.158,10,6.345982992765579,0.0,0.5,0.0,2.6729914963827897,0.5,5.345982992765579
2,0.1,0.0,0.0798,0.158,10,6.265664160401003,0.0,0.5,0.0,2.6328320802005014,0.5,5.265664160401003
2,0.1,0.0,0.08081,0.158,10,6.187353050365053,0.0,0.5,0.0,2.5936765251825267,0.5,5.187353050365053
2,0.1,0.0,0.08182,0.158,10,6.1109753116597405,0.0,0.5,0.0,2.5554876558298703,0.5,5.1109753116597405
2,0.1,0.0,0.08283,0.158,10,6.036460219727152,0.0,0.5,0.0,2.518230109863576,0.5,5.036460219727152
2,0.1,0.0,0.08384,0.158,10,5.963740458015267,0.0,0.5,0.0,2.4818702290076335,0.5,4.963740458015267
2,0.1,0.0,0.08485,0.158,10,5.892751915144372,0.0,0.5,0.0,2.446375957572186,0.5,4.892751915144372
2,0.1,0.0,0.08586,0.158,10,5.8234334963894705,0.0,0.5,0.0,2.4117167481947352,0.5,4.8234334963894705
2,0.1,0.0,0.08687,0.158,10,5.755726948313572,0.0,0.5,0.0,2.377863474156786,0.5,4.755726948313572
2,0.1,0.0,0.08788,0.158,10,5.689576695493855,0.0,0.5,0.0,2.3447883477469276,0.5,4.689576695493855
2,0.1,0.0,0.08889,0.158,10,5.624929688378895,0.0,0.5,0.0,2.3124648441894475,0.5,4.624929688378895
2,0.1,0.0,0.0899,0.158,10,5.561735261401558,0.0,0.5,0.0,2.280867630700779,0.5,4.561735261401558
2,0.1,0.0,0.09091,0.158,10,5.499945000549994,0.0,0.5,0.0,2.249972500274997,0.5,4.499945000549994
2,0.1,0.0,0.09192,0.158,10,5.439512619669277,0.0,0.5,0.0,2.2197563098346387,0.5,4.439512619669277
2,0.1,0.0,0.09293,0.158,10,5.380393844829442,0.0,0.5,0.0,2.190196922414721,0.5,4.380393844829442
2,0.1,0.0,0.09394,0.158,10,5.322546306152864,0.0,0.5,0.0,2.161273153076432,0.5,4.322546306152864
2,0.1,0.0,0.09495,0.158,10,5.26592943654555,0.0,0.5,0.0,2.132964718272775,0.5,4.26592943654555
2,0.1,0.0,0.09596,0.158,10,5.2105043768236765,0.0,0.5,0.0,2.1052521884118383,0.5,4.2105043768236765
2,0.1,0.0,0.09697,0.158,10,5.156233886769104,0.0,0.5,0.0,2.078116943384552,0.5,4.156233886769104
2,0.1,0.0,0.09798,0.158,10,5.103082261686058,0.0,0.5,0.0,2.051541130843029,0.5,4.103082261686058
2,0.1,0.0,0.09899,0.158,10,5.051015254066067,0.0,0.5,0.0,2.0255076270330337,0.5,4.051015254066067
2,0.1,0.0,0.1,0.158,10,5.0,0.0,0.5,0.0,2.0,0.5,4.0
3,0.1,0.10101010101010101,1e-05,0.158,10,10.0,0.0,0.9999,0.10101010101010101,8.898100000000001,0.9999,8.8989898989899
3,0.1,0.10101010101010101,0.00102,0.158,10,10.0,0.0,0.9898,0.10101010101010101,8.808220202020202,0.9898,8.898989898989898
3,0.1,0.10101010101010101,0.00203,0.158,10,10.0,0.0,0.9797,0.10101010101010101,8.718340404040406,0.9797,8.898989898989901
3,0.1,0.10101010101010101,0.00304,0.158,10,10.0,0.0,0.9696,0.10101010101010101,8.628460606060607,0.9696,8.8989898989899
3,0.1,0.10101010101010101,0.00405,0.158,10,10.0,0.0,0.9595,0.10101010101010101,8.538580808080809,0.9595,8.8989898989899
3,0.1,0.10101010101010101,0.00506,0.158,10,10.0,0.0,0.9494,0.10101010101010101,8.44870101010101,0.9494,8.898989898989898
3,0.1,0.10101010101010101,0.00607,0.158,10,10.0,0.0,0.9393,0.10101010101010101,8.358821212121214,0.9393,8.8989898989899
3,0.1,0.10101010101010101,0.0070799999999999995,0.158,10,10.0,0.0,0.9292,0.10101010101010101,8.268941414141414,0.9292,8.8989898989899
3,0.1,0.10101010101010101,0.00809,0.158,10,10.0,0.0,0.9191,0.10101010101010101,8.179061616161617,0.9191,8.8989898989899
3,0.1,0.10101010101010101,0.0091,0.158,10,10.0,0.0,0.909,0.10101010101010101,8.08918181818182,0.909,8.8989898989899
3,0.1,0.10101010101010101,0.010110000000000001,0.158,10,10.0,0.0,0.8989,0.10101010101010101,7.999302020202021,0.8989,8.8989898989899
3,0.1,0.10101010101010101,0.01112,0.158,10,10.0,0.0,0.8888,0.10101010101010101,7.909422222222224,0.8888,8.8989898989899
3,0.1,0.10101010101010101,0.01213,0.158,10,10.0,0.0,0.8787,0.10101010101010101,7.8195424242424245,0.8787,8.8989898989899
3,0.1,0.10101010101010101,0.01314,0.158,10,10.0,0.0,0.8686,0.10101010101010101,7.729662626262628,0.8686,8.8989898989899
3,0.1,0.10101010101010101,0.01415,0.158,10,10.0,0.0,0.8585,0.10101010101010101,7.639782828282828,0.8585,8.898989898989898
