case,gamma,c,eps,m,f_s,e_s,pmax,pn,ps,K,rn,rs,Pn,Ps,Pdiff
1,1.0,0.01,0.0,1.25,0.34,0.9684,1.0,0.505,0.5046082949308756,0.0,0.495,0.49539170506912444,0.245025,0.26627304147465436,0.021248041474654367
1,1.0,0.01,0.012658227848101266,1.25,0.34,0.9684,1.0,0.505,0.5065916117365689,0.0,0.495,0.49340838826343114,0.245025,0.26414524380545773,0.019120243805457737
1,1.0,0.01,0.02531645569620253,1.25,0.34,0.9684,1.0,0.505,0.5085749285422622,0.0,0.495,0.49142507145773784,0.245025,0.2620259819301084,0.017000981930108405
1,1.0,0.01,0.0379746835443038,1.25,0.34,0.9684,1.0,0.505,0.5105582453479555,0.0,0.495,0.48944175465204454,0.245025,0.2599152558486063,0.014890255848606315
1,1.0,0.01,0.05063291139240506,1.25,0.34,0.9684,1.0,0.505,0.5125415621536488,0.0,0.495,0.48745843784635123,0.245025,0.2578130655609515,0.012788065560951523
1,1.0,0.01,0.06329113924050633,1.25,0.34,0.9684,1.0,0.505,0.514524878959342,0.0,0.495,0.48547512104065804,0.245025,0.255719411067144,0.010694411067144027
1,1.0,0.01,0.0759493670886076,1.25,0.34,0.9684,1.0,0.505,0.5165081957650353,0.0,0.495,0.48349180423496474,0.245025,0.2536342923671838,0.00860929236718383
1,1.0,0.01,0.08860759493670886,1.25,0.34,0.9684,1.0,0.505,0.5184915125707286,0.0,0.495,0.48150848742927144,0.245025,0.2515577094610709,0.006532709461070929
1,1.0,0.01,0.10126582278481013,1.25,0.34,0.9684,1.0,0.505,0.5204748293764219,0.0,0.495,0.47952517062357813,0.245025,0.2494896623488053,0.004464662348805298
1,1.0,0.01,0.11392405063291139,1.25,0.34,0.9684,1.0,0.505,0.5224581461821152,0.0,0.495,0.47754185381788483,0.245025,0.247430151030387,0.0024051510303870205
1,1.0,0.01,0.12658227848101267,1.25,0.34,0.9684,1.0,0.505,0.5244414629878085,0.0,0.495,0.47555853701219153,0.245025,0.2453791755058159,0.0003541755058159013
1,1.0,0.01,0.13924050632911392,1.25,0.34,0.9684,1.0,0.505,0.5264247797935018,0.0,0.495,0.4735752202064982,0.245025,0.24333673577509213,-0.001688264224907865
1,1.0,0.01,0.1518987341772152,1.25,0.34,0.9684,1.0,0.505,0.5284080965991951,0.0,0.495,0.4715919034008049,0.245025,0.24130283183821566,-0.003722168161784334
1,1.0,0.01,0.16455696202531644,1.25,0.34,0.9684,1.0,0.505,0.5303914134048883,0.0,0.495,0.46960858659511173,0.245025,0.23927746369518646,-0.005747536304813533
