case,Kn,Ks,gamma,eps,m,f_s,pmax,p,r,E,P
1,0.0,0.0,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-0.45401034941246343
1,0.0,0.050505050505050504,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-0.48799997944339313
1,0.0,0.10101010101010101,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-0.5219896094743228
1,0.0,0.15151515151515152,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-0.5559792395052525
1,0.0,0.20202020202020202,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-0.5899688695361823
1,0.0,0.25252525252525254,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-0.623958499567112
1,0.0,0.30303030303030304,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-0.6579481295980417
1,0.0,0.35353535353535354,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-0.6919377596289714
1,0.0,0.40404040404040403,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-0.7259273896599011
1,0.0,0.45454545454545453,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-0.7599170196908308
1,0.0,0.5050505050505051,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-0.7939066497217606
1,0.0,0.5555555555555556,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-0.8278962797526902
1,0.0,0.6060606060606061,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-0.86188590978362
1,0.0,0.6565656565656566,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-0.8958755398145497
1,0.0,0.7070707070707071,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-0.9298651698454793
1,0.0,0.7575757575757576,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-0.9638547998764091
1,0.0,0.8080808080808081,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-0.9978444299073389
1,0.0,0.8585858585858586,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-1.0318340599382685
1,0.0,0.9090909090909091,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-1.0658236899691982
1,0.0,0.9595959595959596,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-1.0998133200001279
1,0.0,1.0101010101010102,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-1.1338029500310578
1,0.0,1.0606060606060606,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-1.1677925800619873
1,0.0,1.1111111111111112,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-1.2017822100929172
1,0.0,1.1616161616161615,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-1.2357718401238469
1,0.0,1.2121212121212122,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-1.2697614701547766
1,0.0,1.2626262626262625,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-1.3037511001857063
1,0.0,1.3131313131313131,0.4,0.1,1.25,0.34,10,10.0,0.01831563888873418,0.017626897603962216,0.007672683839654607
1,0.0,1.3636363636363635,0.4,0.1,1.25,0.34,10,9.9897767180706,0.018390690615169004,0.017699127085276187,0.0074072706742481205
1,0.0,1.4141414141414141,0.4,0.1,1.25,0.34,10,7.930949494949449,0.04190375667410978,0.04032800780813656,0.008904548293248165
1,0.0,1.4646464646464645,0.4,0.1,1.25,0.34,10,8.110626262626262,0.038997782047347954,0.03753130945123948,0.008287028685061442
1,0.0,1.5151515151515151,0.4,0.1,1.25,0.34,10,8.290303030303114,0.03629333323119628,0.034928558728370376,0.0077123333116294705
1,0.0,1.5656565656565655,0.4,0.1,1.25,0.34,10,8.469979797979796,0.03377643465547607,0.03250630560669154,0.007177492364288663
1,0.0,1.6161616161616161,0.4,0.1,1.25,0.34,10,8.649656565656565,0.03143407993881858,0.030252032796799246,0.00667974198699895
1,0.0,1.6666666666666667,0.4,0.1,1.25,0.34,10,8.829333333333333,0.029254164676609514,0.028154091068110287,0.00621650999377952
1,0.0,1.7171717171717171,0.4,0.1,1.25,0.34,10,9.009010101010105,0.027225423889990625,0.026201639050031415,0.005785402576623018
1,0.0,1.7676767676767677,0.4,0.1,1.25,0.34,10,9.188686868686855,0.02533737381270477,0.02438458720785182,0.005384191935199734
1,0.0,1.8181818181818181,0.4,0.1,1.25,0.34,10,9.368363636363636,0.02358025771494977,0.022693545703836797,0.005010804764426826
1,0.0,1.8686868686868687,0.4,0.1,1.25,0.34,10,9.548040404040409,0.021944995484285124,0.021119775874094065,0.004663311540410598
1,0.0,1.9191919191919191,0.4,0.1,1.25,0.34,10,9.72771717171717,0.02042313670303846,0.0196551450704574,0.004339916549395671
1,0.0,1.9696969696969697,0.4,0.1,1.25,0.34,10,9.90739393939394,0.019006816979738505,0.018292084634032417,0.004038948608194433
1,0.0,2.0202020202020203,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-1.813595550649652
1,0.0,2.0707070707070705,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-1.8475851806805816
1,0.0,2.121212121212121,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-1.8815748107115111
1,0.0,2.1717171717171717,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-1.915564440742441
1,0.0,2.2222222222222223,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-1.9495540707733707
1,0.0,2.2727272727272725,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-1.9835437008043004
1,0.0,2.323232323232323,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.01753333083523
1,0.0,2.3737373737373737,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.05152296086616
1,0.0,2.4242424242424243,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.0855125908970895
1,0.0,2.474747474747475,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.1195022209280197
1,0.0,2.525252525252525,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.1534918509589493
1,0.0,2.5757575757575757,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.1874814809898786
